113639275,1
2198360746,1
2197568301,2
5872287443,2
5872846374,2
5872848388,2
5878146072,2
6109247199,3
5866569209,3
7706908996,4
4387648574,4
6940370720,5
3897377616,5
8271522981,6
103464235,7
2197566381,8
2197568995,8
2197569639,8
2198354346,8
2198357152,8
2198356926,8
2198354758,9
2197571453,10
7706920986,10
7022576391,10
5221611574,10
2197568613,11
2197570811,11
2198357744,12
2198360318,13
2198359810,13
7706917062,13
6876508678,14
877550806,14
5872847232,15
2198355268,16
2198358070,16
5877586241,16
5877589185,17
5877588039,17
6278528236,17
